Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,-0.01,-1.00,0.13,2.32,0.00,-0.43,-28.00,0.00,16.00
side,-0.01,-1.00,0.12,-1.10,0.24,-0.06,-27.00,1.00,15.00
side,-0.01,-1.00,0.12,-7.63,0.43,0.37,-30.00,-1.00,15.00
side,-0.01,-1.00,0.15,-0.43,0.79,0.06,-29.00,2.00,18.00
side,-0.01,-1.00,0.15,0.31,0.55,-0.06,-29.00,0.00,18.00
side,-0.01,-1.00,0.15,-0.06,0.31,0.00,-28.00,0.00,18.00
side,-0.01,-1.00,0.15,-0.85,0.31,-0.06,-28.00,1.00,14.00
side,-0.01,-1.00,0.15,-2.56,-0.24,0.55,-28.00,0.00,15.00
side,-0.01,-0.99,0.19,-8.42,-1.77,1.59,-25.00,1.00,16.00
side,-0.01,-1.00,0.18,6.47,0.24,-1.10,-26.00,0.00,20.00
side,-0.01,-1.00,0.17,3.60,0.18,-0.73,-26.00,2.00,16.00
side,-0.01,-1.00,0.15,1.46,0.18,-0.49,-27.00,1.00,16.00
side,-0.01,-1.00,0.15,-0.55,0.12,-0.24,-27.00,2.00,12.00
side,-0.01,-1.00,0.15,0.06,0.12,-0.12,-28.00,0.00,15.00
side,-0.01,-1.00,0.15,0.37,0.12,-0.12,-31.00,4.00,15.00
side,-0.01,-1.00,0.15,0.24,0.18,-0.06,-29.00,1.00,16.00
side,-0.01,-1.00,0.15,0.00,0.12,-0.12,-27.00,0.00,19.00
side,-0.01,-1.00,0.15,0.24,0.06,-0.12,-26.00,1.00,21.00
side,-0.01,-1.00,0.17,-8.61,-3.66,1.59,-28.00,1.00,19.00
side,0.00,-0.98,0.23,-20.26,-0.73,3.17,-25.00,1.00,20.00
side,0.00,-0.95,0.31,-79.41,-0.92,8.06,-22.00,1.00,24.00
side,0.01,-0.96,0.31,0.24,0.12,-0.18,-21.00,2.00,24.00
side,0.01,-0.98,0.26,28.93,2.38,-3.30,-23.00,2.00,19.00
side,0.00,-0.99,0.21,13.00,0.12,-2.50,-24.00,0.00,21.00
side,-0.01,-1.00,0.16,10.80,2.20,-2.32,-27.00,1.00,20.00
side,-0.01,-1.00,0.14,5.74,0.18,-0.98,-28.00,0.00,11.00
side,-0.01,-1.01,0.16,-28.44,-10.56,7.81,-27.00,3.00,24.00
side,-0.00,-0.99,0.19,-5.74,-0.43,0.73,-26.00,1.00,14.00
side,-0.01,-1.00,0.18,3.11,0.24,-0.55,-28.00,1.00,19.00
side,-0.01,-1.00,0.17,2.69,0.00,-0.43,-27.00,2.00,14.00
side,-0.01,-1.00,0.17,3.11,1.10,-0.92,-29.00,1.00,16.00
side,-0.01,-1.00,0.16,1.22,0.24,-0.24,-30.00,2.00,19.00
side,-0.01,-1.00,0.15,-0.37,0.43,-0.12,-26.00,2.00,17.00
side,-0.01,-1.00,0.15,0.98,0.24,-0.18,-30.00,3.00,15.00
side,-0.01,-1.00,0.15,-0.55,0.12,-0.06,-27.00,1.00,18.00
side,-0.01,-1.00,0.15,-0.06,0.31,-0.06,-28.00,1.00,13.00
side,-0.01,-1.00,0.15,-1.16,0.12,0.12,-29.00,2.00,19.00
side,-0.01,-1.00,0.15,-0.73,0.12,-0.06,-28.00,0.00,18.00
side,-0.01,-1.00,0.15,1.40,0.37,-0.24,-28.00,1.00,15.00
side,-0.01,-1.00,0.15,0.18,0.06,-0.06,-29.00,0.00,16.00
side,-0.01,-1.00,0.15,0.92,0.12,-0.24,-27.00,2.00,14.00
side,-0.01,-1.00,0.15,0.31,-0.06,-0.06,-30.00,0.00,16.00
side,-0.01,-1.00,0.15,0.18,-0.18,-0.31,-27.00,3.00,20.00
side,-0.01,-1.01,0.15,-26.86,-2.01,7.20,-27.00,1.00,15.00
side,0.01,-0.97,0.27,-26.49,-1.28,2.93,-23.00,1.00,23.00
side,0.01,-0.97,0.31,-1.04,0.18,0.06,-21.00,2.00,23.00
side,0.02,-0.95,0.33,-6.41,-1.10,0.73,-20.00,2.00,24.00
side,0.01,-0.98,0.24,24.29,2.50,-4.76,-23.00,1.00,21.00
side,-0.01,-1.00,0.14,13.67,0.61,-2.75,-29.00,0.00,13.00
side,-0.02,-1.01,0.10,2.87,0.31,-0.12,-30.00,1.00,11.00
side,-0.01,-0.98,0.25,-53.96,-3.91,13.43,-28.00,0.00,15.00
side,0.01,-0.98,0.27,-17.46,-0.24,0.31,-23.00,2.00,23.00
side,0.02,-0.96,0.31,-2.50,0.00,-0.12,-20.00,1.00,19.00
side,0.01,-0.96,0.30,7.57,1.59,-1.28,-21.00,0.00,22.00
side,0.02,-0.97,0.29,1.40,0.06,-0.43,-22.00,1.00,22.00
side,0.01,-0.97,0.27,11.17,0.85,-1.59,-22.00,-1.00,20.00
side,0.01,-0.98,0.25,-3.30,0.31,0.06,-23.00,2.00,22.00
side,0.01,-0.97,0.28,-0.61,0.18,0.06,-21.00,2.00,22.00
side,0.01,-0.98,0.26,7.39,0.49,-1.34,-25.00,1.00,20.00
side,0.00,-0.99,0.23,2.81,0.43,-0.73,-21.00,0.00,17.00
side,-0.00,-0.99,0.18,15.93,1.53,-3.91,-27.00,2.00,20.00
side,-0.02,-1.01,0.07,15.01,-5.07,-1.04,-28.00,0.00,15.00
side,-0.02,-1.01,0.09,7.69,0.61,-1.04,-28.00,1.00,13.00
side,-0.01,-1.01,0.14,-49.07,-10.25,14.40,-28.00,4.00,15.00
side,0.01,-0.96,0.31,-34.42,-2.99,3.42,-20.00,0.00,20.00
side,0.02,-0.94,0.37,-11.41,-0.49,0.43,-18.00,4.00,25.00
side,0.02,-0.93,0.40,-1.71,-0.06,-0.06,-15.00,1.00,28.00
side,0.02,-0.93,0.39,15.56,2.99,-1.10,-17.00,0.00,28.00
side,0.01,-0.97,0.27,22.71,-0.18,-3.60,-21.00,0.00,22.00
side,-0.01,-0.99,0.22,4.15,-0.73,-2.81,-23.00,1.00,21.00
side,-0.02,-0.99,0.13,17.64,3.30,-3.11,-28.00,1.00,13.00
side,-0.01,-1.00,0.15,-36.38,-3.72,10.50,-27.00,5.00,19.00
side,0.00,-0.97,0.33,-8.18,-7.75,2.62,-23.00,1.00,25.00
side,0.01,-0.93,0.46,-117.74,-0.24,6.47,-18.00,0.00,27.00
side,0.01,-0.92,0.42,21.00,5.43,-2.38,-15.00,2.00,27.00
side,0.01,-0.96,0.27,25.45,0.85,-3.05,-18.00,2.00,24.00
side,-0.01,-0.99,0.17,21.24,1.89,-4.58,-25.00,1.00,22.00
side,-0.02,-1.01,0.08,15.75,2.81,-3.05,-31.00,2.00,12.00
side,-0.02,-1.01,0.05,-1.46,3.30,1.28,-30.00,0.00,13.00
side,0.00,-0.98,0.24,-56.82,-7.32,8.18,-27.00,0.00,16.00
side,0.00,-0.90,0.45,9.28,1.10,-0.18,-15.00,2.00,28.00
side,-0.01,-1.04,0.25,111.39,4.82,-6.90,-20.00,2.00,22.00
side,-0.03,-1.00,0.15,25.63,1.65,-2.81,-29.00,3.00,17.00
side,-0.03,-1.01,0.09,-3.48,3.66,1.40,-31.00,0.00,9.00
side,-0.03,-1.00,0.11,-5.43,-0.18,0.79,-30.00,2.00,13.00
side,-0.02,-1.00,0.17,-27.71,-9.09,6.10,-28.00,2.00,18.00
side,0.00,-0.99,0.29,-60.42,-7.69,4.82,-23.00,2.00,27.00
side,-0.00,-0.90,0.46,4.88,0.92,0.31,-10.00,1.00,27.00
side,-0.00,-0.89,0.48,8.48,2.08,-0.18,-11.00,4.00,31.00
side,-0.01,-0.97,0.26,55.73,7.08,-9.46,-24.00,2.00,21.00
side,-0.03,-1.00,0.13,39.61,1.53,-5.98,-28.00,4.00,19.00
side,-0.04,-1.01,0.10,-6.96,-0.24,1.71,-31.00,4.00,14.00
side,-0.03,-1.00,0.14,-8.18,0.85,2.32,-29.00,1.00,20.00
side,-0.02,-1.00,0.16,-2.38,0.67,0.61,-28.00,4.00,20.00
side,-0.02,-0.99,0.18,-5.00,0.18,1.04,-28.00,1.00,16.00
side,-0.02,-1.00,0.17,-1.77,0.37,0.24,-28.00,2.00,17.00
