Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
supine,0.02,-0.03,1.00,0.18,0.12,0.00,49.00,-6.00,20.00
supine,0.02,-0.03,1.00,0.55,-0.18,-0.73,48.00,-7.00,16.00
supine,0.02,-0.02,1.00,-0.06,0.18,-0.37,48.00,-6.00,18.00
supine,0.01,-0.03,1.00,-0.37,0.24,-0.24,48.00,-7.00,19.00
supine,0.01,-0.01,1.00,0.12,0.12,0.06,48.00,-7.00,25.00
supine,0.02,-0.03,1.00,-0.31,0.31,-3.42,47.00,-6.00,20.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.31,49.00,-8.00,19.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.18,48.00,-6.00,23.00
supine,0.02,-0.02,1.00,-0.06,0.18,-0.12,46.00,-9.00,18.00
supine,0.02,-0.02,1.00,0.00,0.06,-1.34,46.00,-9.00,14.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.31,47.00,-8.00,20.00
supine,0.02,-0.02,1.00,-0.18,0.06,0.61,50.00,-10.00,20.00
supine,0.01,-0.02,1.00,-1.53,1.04,-5.00,48.00,-7.00,17.00
supine,0.01,-0.03,1.00,0.79,-0.24,-1.40,48.00,-9.00,20.00
supine,0.01,-0.02,1.00,0.12,0.12,-0.79,49.00,-9.00,20.00
supine,0.01,-0.03,1.00,0.12,0.00,-0.12,47.00,-9.00,22.00
supine,0.02,-0.03,1.00,-0.49,0.31,-1.95,47.00,-9.00,20.00
supine,0.02,-0.02,1.00,0.12,0.06,-0.37,49.00,-10.00,19.00
supine,0.02,-0.02,1.00,0.43,-0.06,-0.49,48.00,-7.00,19.00
supine,0.01,-0.02,1.00,0.85,-0.37,-1.04,47.00,-9.00,16.00
supine,0.02,-0.02,1.00,0.12,0.12,0.24,49.00,-8.00,20.00
supine,0.02,-0.02,1.00,-1.28,0.06,-0.12,49.00,-10.00,21.00
supine,0.01,-0.03,1.00,1.83,0.18,-0.18,48.00,-8.00,24.00
supine,0.02,-0.02,1.00,0.06,0.06,-0.18,48.00,-10.00,16.00
supine,0.02,-0.02,1.00,1.10,-0.31,-0.67,49.00,-8.00,18.00
supine,0.02,-0.02,1.00,0.00,0.18,-0.18,48.00,-8.00,16.00
supine,0.02,-0.02,1.00,0.00,0.18,-0.18,48.00,-10.00,22.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.12,48.00,-9.00,21.00
supine,0.02,-0.02,1.00,0.12,0.06,-0.12,47.00,-8.00,21.00
supine,0.02,-0.02,1.00,0.12,0.12,0.55,48.00,-11.00,18.00
supine,0.02,-0.02,1.00,0.61,-0.18,-0.12,48.00,-9.00,20.00
supine,0.02,-0.02,1.00,-0.67,0.49,-0.37,49.00,-9.00,20.00
supine,0.02,-0.02,1.00,0.31,0.00,-0.06,45.00,-9.00,18.00
supine,0.01,-0.03,1.00,0.31,0.06,-0.06,48.00,-11.00,16.00
supine,0.02,-0.03,1.00,-2.08,1.10,-0.24,49.00,-6.00,20.00
supine,0.02,-0.02,1.00,0.06,0.12,1.10,49.00,-9.00,19.00
supine,0.02,-0.03,1.00,0.18,0.12,-0.18,49.00,-9.00,20.00
supine,0.01,-0.03,1.00,0.06,0.06,-0.37,47.00,-8.00,23.00
supine,0.01,-0.03,1.00,-0.43,0.37,-0.12,48.00,-9.00,18.00
supine,0.01,-0.03,1.00,-0.06,0.12,-0.12,49.00,-10.00,23.00
supine,0.01,-0.03,1.00,0.12,0.00,0.00,49.00,-8.00,16.00
supine,0.01,-0.03,1.00,-0.55,0.37,-0.12,47.00,-7.00,18.00
supine,0.01,-0.03,1.00,-0.37,0.18,-0.18,47.00,-8.00,22.00
supine,0.01,-0.03,1.00,0.12,0.12,-0.06,46.00,-10.00,20.00
supine,0.01,-0.03,1.00,-0.24,0.24,-0.12,49.00,-9.00,16.00
supine,0.01,-0.03,1.00,-0.37,0.43,-0.06,49.00,-9.00,19.00
supine,0.01,-0.03,1.00,-0.06,0.18,-0.31,48.00,-10.00,23.00
supine,0.01,-0.03,1.00,-0.06,0.18,-0.18,49.00,-8.00,17.00
supine,0.01,-0.03,1.00,-0.18,0.31,-0.18,48.00,-8.00,16.00
supine,0.01,-0.03,1.00,-0.24,0.24,-0.18,48.00,-10.00,18.00
supine,0.01,-0.03,1.00,0.18,0.06,-0.18,47.00,-12.00,22.00
supine,0.01,-0.03,1.00,0.12,0.12,-0.12,48.00,-9.00,22.00
supine,0.01,-0.03,1.00,-0.31,0.31,-0.18,50.00,-9.00,22.00
supine,0.01,-0.03,1.00,-0.06,0.24,-0.24,46.00,-6.00,20.00
supine,0.01,-0.03,1.00,0.18,0.12,-0.24,48.00,-9.00,21.00
supine,0.01,-0.03,1.00,0.12,0.12,-0.24,50.00,-8.00,19.00
supine,0.01,-0.03,1.00,0.00,0.12,0.00,47.00,-9.00,17.00
supine,0.01,-0.03,1.00,1.46,0.18,-0.49,47.00,-8.00,17.00
supine,0.02,-0.02,1.00,0.00,0.00,0.37,48.00,-6.00,20.00
supine,0.01,-0.04,1.00,-0.18,0.31,-1.53,49.00,-8.00,21.00
supine,0.02,-0.03,1.00,-3.66,2.01,0.06,47.00,-9.00,16.00
supine,0.01,-0.03,1.00,0.24,0.00,-0.31,46.00,-10.00,19.00
supine,0.01,-0.03,1.00,0.24,0.06,-0.12,48.00,-8.00,19.00
supine,0.01,-0.03,1.00,-0.12,0.18,-0.24,48.00,-9.00,14.00
supine,0.01,-0.02,1.01,-0.24,0.24,-0.49,48.00,-9.00,21.00
supine,0.02,-0.03,1.00,0.24,0.12,-1.40,47.00,-10.00,23.00
supine,0.01,-0.03,1.00,-0.43,0.37,-0.18,48.00,-9.00,25.00
supine,0.01,-0.03,1.01,-0.37,0.31,-0.24,49.00,-7.00,21.00
supine,0.02,-0.02,1.00,0.37,-0.12,-0.06,47.00,-8.00,26.00
supine,0.02,-0.03,1.00,-0.31,0.31,-0.12,47.00,-9.00,17.00
supine,0.01,-0.03,1.00,-0.06,0.18,-0.06,50.00,-8.00,19.00
supine,0.01,-0.03,1.00,0.31,0.00,0.43,48.00,-8.00,17.00
supine,0.01,-0.03,1.00,0.43,-0.06,-0.12,48.00,-8.00,19.00
supine,0.01,-0.03,1.00,0.06,0.12,-0.18,48.00,-6.00,18.00
supine,0.01,-0.04,1.00,-1.34,0.73,-3.11,47.00,-8.00,19.00
supine,0.01,-0.03,1.00,0.79,-0.24,0.00,48.00,-10.00,21.00
supine,0.01,-0.03,1.00,0.43,-0.06,-0.06,48.00,-8.00,16.00
supine,0.01,-0.03,1.01,-0.61,0.49,1.10,49.00,-9.00,21.00
supine,0.01,-0.03,1.00,1.10,-0.61,0.18,48.00,-8.00,16.00
supine,0.01,-0.03,1.00,0.31,-0.06,-2.08,47.00,-7.00,20.00
supine,0.01,-0.03,1.00,-0.85,0.67,0.24,47.00,-6.00,20.00
supine,0.01,-0.03,1.00,0.06,0.12,-0.24,48.00,-10.00,19.00
supine,0.01,-0.03,1.00,-0.24,0.31,-0.18,46.00,-7.00,19.00
supine,0.01,-0.03,1.00,-0.12,0.24,-0.24,46.00,-8.00,17.00
supine,0.01,-0.03,1.00,-0.79,0.61,-0.12,48.00,-9.00,23.00
supine,0.01,-0.03,1.00,0.31,0.00,0.00,49.00,-8.00,19.00
supine,0.01,-0.03,1.00,-0.18,0.24,-0.12,48.00,-8.00,18.00
