Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,0.02,-0.99,-0.20,-0.37,0.18,-0.06,-33.00,-5.00,-76.00
side,0.02,-0.99,-0.20,-0.61,0.18,-0.18,-35.00,-6.00,-80.00
side,0.02,-0.99,-0.20,-2.38,0.31,-0.12,-33.00,-4.00,-78.00
side,0.02,-0.99,-0.20,0.24,0.24,-0.12,-31.00,-5.00,-82.00
side,0.02,-0.99,-0.21,-0.61,0.24,-0.12,-31.00,-6.00,-80.00
side,0.02,-0.99,-0.21,-0.67,0.18,-0.12,-32.00,-6.00,-82.00
side,0.02,-0.99,-0.20,-0.67,0.24,-0.12,-31.00,-7.00,-74.00
side,0.02,-0.99,-0.22,3.11,0.24,-0.06,-31.00,-6.00,-77.00
side,0.02,-0.99,-0.22,-0.12,0.18,-0.06,-31.00,-6.00,-81.00
side,0.02,-0.99,-0.22,0.55,0.12,-0.18,-32.00,-4.00,-81.00
side,0.02,-0.99,-0.22,-0.73,0.24,-0.12,-31.00,-6.00,-78.00
side,0.02,-0.99,-0.21,-0.24,0.18,-0.12,-32.00,-5.00,-84.00
side,0.02,-0.99,-0.21,-0.18,0.00,-0.12,-33.00,-5.00,-78.00
side,0.02,-0.99,-0.20,-0.49,0.06,-0.06,-33.00,-5.00,-82.00
side,0.02,-0.99,-0.20,0.67,0.18,-0.24,-34.00,-7.00,-76.00
side,0.02,-0.99,-0.20,-1.10,0.12,-0.12,-34.00,-4.00,-86.00
side,0.02,-0.99,-0.20,-1.40,0.12,-0.12,-35.00,-6.00,-81.00
side,0.02,-0.99,-0.20,-2.69,0.12,-0.06,-32.00,-7.00,-80.00
side,0.02,-0.99,-0.20,0.18,0.06,-0.18,-33.00,-5.00,-79.00
side,0.02,-0.99,-0.20,0.49,0.12,-0.06,-33.00,-5.00,-80.00
side,0.02,-0.99,-0.20,1.04,0.18,-0.12,-31.00,-6.00,-80.00
side,0.02,-0.99,-0.20,0.00,0.18,-0.12,-33.00,-6.00,-78.00
side,0.02,-0.99,-0.20,2.08,0.18,-0.12,-34.00,-4.00,-79.00
side,0.02,-0.99,-0.20,0.85,0.18,-0.12,-32.00,-5.00,-80.00
side,0.02,-0.99,-0.21,0.61,0.18,-0.06,-32.00,-8.00,-83.00
side,0.02,-0.99,-0.20,-1.04,0.12,-0.06,-34.00,-4.00,-83.00
side,0.02,-0.99,-0.20,-3.72,0.12,-0.12,-32.00,-9.00,-83.00
side,0.02,-0.99,-0.20,0.67,0.12,-0.06,-32.00,-5.00,-78.00
side,0.02,-0.99,-0.20,-0.61,0.12,-0.12,-31.00,-7.00,-83.00
side,0.02,-0.99,-0.19,-1.34,0.12,-0.24,-33.00,-4.00,-81.00
side,0.02,-0.99,-0.19,2.01,0.12,-0.06,-32.00,-6.00,-77.00
side,0.02,-0.99,-0.19,0.06,0.06,-0.12,-33.00,-4.00,-75.00
side,0.02,-0.99,-0.19,1.28,0.12,-0.06,-35.00,-5.00,-76.00
side,0.02,-0.99,-0.19,3.17,0.24,-0.12,-33.00,-6.00,-78.00
side,0.02,-0.99,-0.20,-0.79,0.12,-0.12,-34.00,-4.00,-80.00
side,0.02,-0.99,-0.20,1.04,0.06,-0.12,-32.00,-6.00,-77.00
side,0.02,-0.99,-0.20,-0.24,0.24,-0.12,-32.00,-5.00,-76.00
side,0.02,-0.99,-0.20,0.00,0.12,-0.12,-33.00,-6.00,-81.00
side,0.02,-0.99,-0.20,-0.55,0.06,-0.12,-33.00,-6.00,-79.00
side,0.02,-0.99,-0.21,-0.24,0.12,-0.06,-30.00,-7.00,-75.00
side,0.02,-0.99,-0.21,1.83,0.12,-0.12,-32.00,-5.00,-80.00
side,0.02,-0.99,-0.21,-0.43,0.12,-0.18,-33.00,-5.00,-74.00
side,0.02,-0.99,-0.21,-0.92,0.12,-0.12,-34.00,-6.00,-80.00
side,0.02,-0.99,-0.21,-0.31,0.12,-0.18,-33.00,-5.00,-81.00
side,0.02,-0.99,-0.20,0.12,0.18,-0.12,-34.00,-5.00,-83.00
side,0.02,-0.99,-0.20,0.12,0.18,-0.18,-32.00,-5.00,-76.00
side,0.02,-0.99,-0.20,0.49,0.06,-0.12,-32.00,-8.00,-82.00
side,0.02,-0.99,-0.20,-0.06,0.12,-0.18,-35.00,-5.00,-81.00
side,0.02,-0.99,-0.19,0.49,0.12,-0.06,-32.00,-7.00,-81.00
side,0.02,-0.99,-0.19,-1.22,0.18,-0.12,-33.00,-5.00,-81.00
side,0.02,-0.99,-0.19,0.12,0.12,-0.12,-35.00,-5.00,-77.00
side,0.02,-0.99,-0.19,-2.75,0.18,-0.06,-33.00,-5.00,-82.00
side,0.02,-0.99,-0.19,0.06,0.06,-0.18,-33.00,-5.00,-75.00
side,0.02,-0.99,-0.19,1.16,0.12,-0.06,-34.00,-7.00,-80.00
side,0.02,-1.00,-0.19,1.16,0.18,-0.12,-33.00,-7.00,-80.00
side,0.02,-0.99,-0.19,1.10,0.12,-0.06,-33.00,-7.00,-80.00
side,0.01,-0.99,-0.20,-0.12,-0.06,-0.18,-34.00,-5.00,-81.00
side,0.02,-0.99,-0.20,0.55,0.31,-0.12,-34.00,-7.00,-83.00
side,0.02,-0.99,-0.19,-4.70,0.06,-0.06,-33.00,-6.00,-76.00
side,0.02,-0.99,-0.19,-0.49,0.18,-0.12,-35.00,-6.00,-78.00
side,0.02,-0.99,-0.19,-1.40,0.06,-0.12,-33.00,-5.00,-76.00
side,0.02,-1.00,-0.18,-1.34,0.06,-0.06,-35.00,-6.00,-75.00
side,0.02,-1.00,-0.17,0.61,0.12,-0.06,-34.00,-7.00,-74.00
side,0.02,-1.00,-0.18,1.59,0.18,-0.12,-34.00,-5.00,-82.00
side,0.02,-1.00,-0.18,-1.40,0.12,-0.06,-36.00,-4.00,-75.00
